,name,prompt,adj1,adj2,style,mos_quality,std_quality,mos_align,std_align,gpt_al,gpt_perc
2814,xl2.2_normal_132.jpg,"a girl with rainbow in white shirt , top view",top view,,,3.628001993,0.638229396,3.114136978,0.672713311,8.0,7.5
2000,sd1.5_lowcorr_218.jpg,"a masonic illuminati waiting room with a couch, soft lighting, abstract style",soft lighting,,abstract style,3.43455948,0.507417663,3.137696322,0.293137554,7.5,8.0
1205,midjourney_normal_019.jpg,big boss eating dinner,,,,3.657121751,0.549470473,3.377804541,0.816266287,9.0,8.5
812,glide_normal_222.jpg,"interior of cosmic highway created by the gods, cold color, top view",cold color,top view,,1.461647503,0.595324829,1.389857248,1.102855681,4.0,5.0
424,DALLE2_normal_130.jpg,"photography of a happy blonde girl , warm color",warm color,,,2.472262578,0.539184938,3.1259885,0.972795131,9.0,8.5
1808,sd1.5_lowcorr_026.jpg,a painting of a eclipse,,,,1.6723615,0.680370606,2.082397944,0.951435102,8.0,7.5
1006,midjourney_lowstep_118.jpg,"foxes judging a cheese competition, abstract style",,,abstract style,2.446668218,0.551323166,2.921613433,0.459813536,6.5,7.0
2499,sd1.5_normal_117.jpg,"portrait of a cloaked female devil, realistic style",,,realistic style,2.391896453,0.794684475,2.78310259,0.556961473,7.5,6.5
2098,sd1.5_lowstep_016.jpg,very sad rabbit crying,,,,2.822270352,0.712421381,2.231381244,0.528636304,5.0,7.0
2559,sd1.5_normal_177.jpg,"a huge wooden carving sculpture of a fox, hyper detail",hyper detail,,,3.773548415,1.093912215,3.469961038,0.882058808,9.5,9.0
1529,sd1.5_highcorr_047.jpg,stalin tapdancing on stage,,,,3.145006417,0.386283181,2.616373046,0.962984816,5.0,6.0
299,AttnGAN_normal_299.jpg,"beautiful fluffy baby giraffe cheetah hybrid mixed creature character concept, hyper detail, HDR lighting, baroque style",hyper detail,HDR lighting,baroque style,0.943982102,0.459595813,1.244088511,0.971761684,2.0,3.0
2025,sd1.5_lowcorr_243.jpg,"mushrooms and moss on a tree in a fairytale forest, elevation view, hyper detail",elevation view,hyper detail,,3.136939761,0.449872485,3.170706135,0.637981427,9.0,8.5
2747,xl2.2_normal_065.jpg,"an environmental concept art, anime style",,,anime style,3.718303223,0.560614965,4.006765574,0.226592887,9.0,8.5
2413,sd1.5_normal_031.jpg,black mickey mouse skull,,,,2.851759102,0.698872865,2.74673979,0.746797429,7.5,8.0
1258,midjourney_normal_073.jpg,"otter making a disgusted face, abstract style",,,abstract style,4.029748353,0.69490508,3.165462896,0.560750396,7.5,8.0
2284,sd1.5_lowstep_202.jpg,"a biomechanical blue raspberry made of metal, top view, realistic style",top view,,realistic style,2.418144251,0.609566903,2.092525257,0.800317764,7.5,8.0
2664,sd1.5_normal_282.jpg,"strange mythical plankton near a waterfall trying to escape, elevation view, blurred detail, realistic style",elevation view,blurred detail,realistic style,2.176839871,1.408041032,1.797978878,0.629033035,4.0,5.0
1846,sd1.5_lowcorr_064.jpg,"monsters playing board games, baroque style",,,baroque style,2.426325581,0.449314086,2.508900426,0.54554126,9.0,8.0
1053,midjourney_lowstep_165.jpg,"a female hand holding a red fresh apple, long-shot",long-shot,,,2.65595515,0.349880048,2.653231999,0.70165969,8.5,9.0
2770,xl2.2_normal_088.jpg,"a space shuttle flying in space, abstract style",,,abstract style,2.284650629,0.662398361,2.144474319,0.738508841,9.0,8.5
2518,sd1.5_normal_136.jpg,"man in his late 40 s wearing a suit, blurred detail",blurred detail,,,3.537280489,0.888189765,3.31387068,0.786724435,8.0,7.5
675,glide_normal_085.jpg,"grumpy minions sitting in a bar, anime style",,,anime style,1.464106675,0.404317808,1.095887156,0.887489974,1.0,3.0
1690,sd1.5_highcorr_208.jpg,"french fastfood adventure pixar movie poster , soft lighting, abstract style",soft lighting,,abstract style,2.785504238,0.509738437,2.94270405,0.453333483,6.0,7.5
915,midjourney_lowstep_025.jpg,a still of breaking bad,,,,2.239848985,0.336980489,2.281042344,0.94617474,7.5,6.0
286,AttnGAN_normal_286.jpg,"an epic artistic colourful natural scene on an alien planet, elevation view, soft lighting, sci-fi style",elevation view,soft lighting,sci-fi style,1.345220838,0.740267098,1.482013745,0.919902293,2.0,3.0
535,DALLE2_normal_244.jpg,"man at a royal banquet wearing an asymmetrical gown, top view, soft lighting",top view,soft lighting,,2.058266369,0.550775795,2.85340349,0.792650926,6.5,7.0
307,DALLE2_normal_007.jpg,a cat doing karaoke,,,,1.910721781,0.574075394,3.167161119,1.011091307,9.0,7.5
1970,sd1.5_lowcorr_188.jpg,"portrait painting of a west hightland white, soft lighting, abstract style",soft lighting,,abstract style,1.702229262,0.272857513,2.59142422,0.545337372,2.0,5.0
741,glide_normal_151.jpg,"photo of a white fashion jewelry store, cold color",cold color,,,1.787427355,0.492877787,2.06489602,0.880226787,4.0,5.0
2348,sd1.5_lowstep_266.jpg,"scottish stone cairn inside a glass jar buried in sand, cold color, close-up, sci-fi style",cold color,close-up,sci-fi style,2.654631009,0.750913443,2.490096099,0.682988128,3.0,5.5
167,AttnGAN_normal_167.jpg,"two women working in a recording studio, hyper detail",hyper detail,,,1.337589887,0.689156899,0.491681629,0.503353788,2.0,3.0
2646,sd1.5_normal_264.jpg,"a hyper intricate oil portrait red cathedral interior, warm color, close-up, baroque style",warm color,close-up,baroque style,1.765019055,1.050067049,2.272678902,0.879612429,8.5,7.5
2832,xl2.2_normal_150.jpg,"portrait of ciri as a samurai assassin, warm color",warm color,,,3.317504837,0.507287015,3.528940255,0.471197163,8.0,7.5
854,glide_normal_264.jpg,"a hyper intricate oil portrait red cathedral interior, warm color, close-up, baroque style",warm color,close-up,baroque style,0.863588083,0.502722457,1.531671491,1.057504309,4.0,5.0
1779,sd1.5_highcorr_297.jpg,"cute fluffy baby cheetah lion hybrid mixed creature character concept, blurred detail, HDR lighting, realistic style",blurred detail,HDR lighting,realistic style,2.210104633,0.72110922,2.508900426,1.028168339,4.0,6.0
1571,sd1.5_highcorr_089.jpg,"a crocodile in a new york sewer, baroque style",,,baroque style,3.197799919,0.618709339,3.146889346,0.982733537,8.5,7.5
2045,sd1.5_lowcorr_263.jpg,"cute animal character sleeping in the space station, cold color, elevation view, abstract style",cold color,elevation view,abstract style,2.643063777,0.458128347,2.343118719,0.829923704,8.0,7.5
1672,sd1.5_highcorr_190.jpg,"delicious peanut butter donut with glazing , warm color, anime style",warm color,,anime style,3.074988427,0.543730053,3.232987189,0.737328773,8.0,7.0
711,glide_normal_121.jpg,"cute green tabby cat made of leaves, cold color",cold color,,,1.511544645,0.714213013,2.206100508,1.164050731,5.0,6.0
2500,sd1.5_normal_118.jpg,"foxes judging a cheese competition, abstract style",,,abstract style,2.254782866,0.411238367,1.920999368,0.707133373,6.0,7.0
1498,sd1.5_highcorr_016.jpg,very sad rabbit crying,,,,3.630412823,0.375269693,2.775303755,1.073922611,4.0,7.0
990,midjourney_lowstep_102.jpg,"a grand stag in a fantasy forest, realistic style",,,realistic style,2.73141732,0.645471592,3.345634382,0.506887645,8.0,7.5
1759,sd1.5_highcorr_277.jpg,"plasticine sculptures of two lovers walking through paris, top view, long-shot, realistic style",top view,long-shot,realistic style,2.478101113,0.967828689,2.389907299,0.933577356,4.0,6.0
1913,sd1.5_lowcorr_131.jpg,"cute fluffy baby panda lion hybrid , cold color",cold color,,,2.980532355,0.603574748,2.723869967,0.4276736,4.0,6.5
177,AttnGAN_normal_177.jpg,"a huge wooden carving sculpture of a fox, hyper detail",hyper detail,,,0.86802727,0.631159093,0.566059704,0.669367555,1.0,2.0
2605,sd1.5_normal_223.jpg,"small group of nomads staying at ancient ruins, cold color, elevation view",cold color,elevation view,,3.075586915,1.003221948,2.957643834,0.761789044,9.0,8.5
2426,sd1.5_normal_044.jpg,male warrior silver armor,,,,2.899057018,0.58837098,3.146889346,0.672234921,9.0,8.0
1441,midjourney_normal_259.jpg,"a parade of disconnected images : a tragic supernova, hyper detail, HDR lighting",hyper detail,HDR lighting,,2.293266536,1.39479433,2.956517697,1.066163854,8.5,9.0
1017,midjourney_lowstep_129.jpg,"portrait of a beautiful young woman, HDR lighting",HDR lighting,,,2.695368677,0.410187717,3.113493079,0.498614839,8.5,7.5
1691,sd1.5_highcorr_209.jpg,"an uprising of disneyland costumed characters, HDR lighting, baroque style",HDR lighting,,baroque style,2.082442662,0.45744994,2.903929414,0.780254682,6.5,7.5
2624,sd1.5_normal_242.jpg,"a living room with a black and white chevron floor, elevation view, blurred detail",elevation view,blurred detail,,3.769523701,0.442638381,2.395499044,1.182543289,9.0,8.0
518,DALLE2_normal_226.jpg,"an anatomically correct cybertronic human heart, cold color, close-up",cold color,close-up,,2.825502717,1.241114029,3.153995905,0.804560704,9.5,9.0
1714,sd1.5_highcorr_232.jpg,"steampunk owl inside a glass jar buried in sand, warm color, soft lighting",warm color,soft lighting,,3.530547546,0.314600815,3.02250478,0.606152192,8.5,9.0
35,AttnGAN_normal_035.jpg,illustration of a rowboat,,,,0.761394747,0.207618326,0.269767789,0.372108636,2.0,3.0
525,DALLE2_normal_233.jpg,"a penguin slipping on a banana in the antarctic , warm color, HDR lighting",warm color,HDR lighting,,2.196265106,0.776078371,3.031176323,0.74358509,8.5,7.0
825,glide_normal_235.jpg,"steampunk squid inside a glass jar buried in sand, cold color, HDR lighting",cold color,HDR lighting,,0.875047949,0.334919761,1.483310731,0.495774823,6.5,7.0
2586,sd1.5_normal_204.jpg,"2 friends partying and are facing the camera, close-up, baroque style",close-up,,baroque style,3.195617381,0.810007592,2.727992245,0.807701474,8.5,9.0
2666,sd1.5_normal_284.jpg,"portrait of beautiful female supermodel wearing olive dress, top view, soft lighting, baroque style",top view,soft lighting,baroque style,1.927354161,0.442276877,1.94279623,0.863083716,8.0,7.5
1922,sd1.5_lowcorr_140.jpg,"cute great old ones sitting in a bar, warm color",warm color,,,2.39306082,0.846976622,3.180326333,0.845804481,6.5,7.0
1243,midjourney_normal_058.jpg,hairy man in eagle costume,,,,3.98539484,0.696850244,3.926135571,0.399518422,9.0,8.5
809,glide_normal_219.jpg,"a brand logo of henry cavill as a catholic nun, HDR lighting, baroque style",HDR lighting,,baroque style,1.22513052,0.808635242,1.791293517,0.906282788,3.0,4.5
33,AttnGAN_normal_033.jpg,the pope had a rock band,,,,1.179543421,0.398577932,0.182860864,0.469014935,2.0,4.0
2489,sd1.5_normal_107.jpg,"spritesheet game asset vector art, realistic style",,,realistic style,2.85831935,0.573974455,2.835190856,0.982562334,4.0,5.0
873,glide_normal_283.jpg,"steampunk pocketwatch owl inside a glass jar buried in sand, elevation view, hyper detail, abstract style",elevation view,hyper detail,abstract style,1.075025374,0.758286415,1.312705603,1.1853308,3.0,4.0
1009,midjourney_lowstep_121.jpg,"cute green tabby cat made of leaves, cold color",cold color,,,2.632073999,0.419532253,3.116693004,0.725113931,8.5,7.0
2477,sd1.5_normal_095.jpg,"moon sea with stars and galaxies, anime style",,,anime style,2.92075847,0.63431255,3.173394589,0.391492563,9.0,8.0
2298,sd1.5_lowstep_216.jpg,"elegant oval mirror and toucan with reflection, blurred detail, sci-fi style",blurred detail,,sci-fi style,2.351513684,0.496474793,1.265299514,0.965040114,4.0,6.5
2197,sd1.5_lowstep_115.jpg,"ocean of canvas that catches fire, anime style",,,anime style,2.560764083,0.668898127,2.677763969,0.8351375,8.5,7.5
2337,sd1.5_lowstep_255.jpg,"magician god holding a divine staff character design, long-shot, HDR lighting",long-shot,HDR lighting,,2.960099613,0.54687816,3.10450053,0.379365086,8.5,7.5
2322,sd1.5_lowstep_240.jpg,"photoreal portrait of a futuristic intricate robot, top view, blurred detail",top view,blurred detail,,3.727389608,0.45341686,3.00217219,0.848606221,8.5,9.0
1697,sd1.5_highcorr_215.jpg,"portrait with no signature of aggressive alien, long-shot, anime style",long-shot,,anime style,2.260001775,0.65774009,2.311422218,0.686694159,7.5,6.5
1485,sd1.5_highcorr_003.jpg,a cosmic universe,,,,2.760431848,0.416397822,3.336157521,0.434636544,9.0,9.5
2901,xl2.2_normal_219.jpg,"a brand logo of henry cavill as a catholic nun, HDR lighting, baroque style",HDR lighting,,baroque style,3.91009791,0.60417066,3.10230551,0.930004701,4.0,7.0
1985,sd1.5_lowcorr_203.jpg,"a beautiful brutalist concrete forest temple, elevation view, abstract style",elevation view,,abstract style,2.46452189,0.951017549,2.189529698,1.043666853,6.5,7.0
249,AttnGAN_normal_249.jpg,"a female elven warrior wearing platinum breastplate, close-up, hyper detail",close-up,hyper detail,,1.023275848,0.78311138,0.826793192,1.132046526,3.0,4.0
1052,midjourney_lowstep_164.jpg,"a pig sitting in a chair smoking a pipe, close-up",close-up,,,2.414476208,0.435519683,2.868115497,0.591805513,8.0,7.5
2892,xl2.2_normal_210.jpg,"an astronaut meeting an alien lizard humanoid, warm color, anime style",warm color,,anime style,2.476222723,0.426678069,3.430465396,0.573933188,9.0,8.5
2976,xl2.2_normal_294.jpg,"anthropomorphic thresher shark in knight armor dropping his sword, long-shot, soft lighting, baroque style",long-shot,soft lighting,baroque style,2.926215464,0.542030647,2.222925965,0.9030852,6.5,7.5
2359,sd1.5_lowstep_277.jpg,"plasticine sculptures of two lovers walking through paris, top view, long-shot, realistic style",top view,long-shot,realistic style,2.715217134,0.546356392,2.258697793,1.031770828,6.0,7.0
1636,sd1.5_highcorr_154.jpg,"cute fluffy baby poodle giraffe hybrid, close-up",close-up,,,3.673754131,0.563785892,3.562117535,0.772152983,6.5,8.0
841,glide_normal_251.jpg,"a brain with eyeballs peaking out between the folds, long-shot, hyper detail",long-shot,hyper detail,,0.60416837,0.537162432,1.087452894,0.969988713,1.0,2.0
978,midjourney_lowstep_090.jpg,"little girl with a mushroom hat, anime style",,,anime style,2.788955814,0.716836379,3.506852145,0.628736472,9.0,8.5
1978,sd1.5_lowcorr_196.jpg,"the essence of the chemical element hydrogen, blurred detail, sci-fi style",blurred detail,,sci-fi style,1.597692094,0.826004705,2.032736844,1.501786567,4.5,6.5
2300,sd1.5_lowstep_218.jpg,"a masonic illuminati waiting room with a couch, soft lighting, abstract style",soft lighting,,abstract style,3.440900802,0.923801974,3.351474113,0.874788862,8.0,7.5
1867,sd1.5_lowcorr_085.jpg,"grumpy minions sitting in a bar, anime style",,,anime style,2.912021026,0.329460818,2.589300817,0.847445473,8.5,7.5
1519,sd1.5_highcorr_037.jpg,demon queen with red eyes,,,,0.550374317,0.336533677,0.970486009,0.528936184,6.5,5.0
724,glide_normal_134.jpg,"a biomechanical orchid heart fusion, close-up",close-up,,,1.478164096,0.536704269,1.996495394,0.771233708,8.0,7.5
283,AttnGAN_normal_283.jpg,"steampunk pocketwatch owl inside a glass jar buried in sand, elevation view, hyper detail, abstract style",elevation view,hyper detail,abstract style,0.850777428,0.688058427,0.957159937,0.95038095,2.0,4.0
224,AttnGAN_normal_224.jpg,"lovers being pulled apart across space and time, warm color, close-up",warm color,close-up,,0.633569007,0.324871463,0.778970376,0.585130533,3.5,4.0
870,glide_normal_280.jpg,"rats in tuxedos drinking champagne in bubbles in the space, top view, blurred detail, anime style",top view,blurred detail,anime style,0.902526954,0.699155911,0.791238626,0.722265069,3.0,4.0
1420,midjourney_normal_237.jpg,"portrait of terrified green ball gown young woman, top view, long-shot",top view,long-shot,,3.60083465,0.295704488,3.296107282,0.642840814,8.0,9.0
989,midjourney_lowstep_101.jpg,"a man playing an invisible cello, sci-fi style",,,sci-fi style,3.143483028,0.82549973,2.768398323,0.798830013,9.0,8.5
1329,midjourney_normal_145.jpg,"kraken is using large sponge for bath, long-shot",long-shot,,,3.685179175,0.880950653,2.714701964,0.501910459,9.0,8.5
1521,sd1.5_highcorr_039.jpg,beautiful topaz girl dark,,,,2.701159713,0.570850777,0.78808434,0.776253277,3.0,7.0
409,DALLE2_normal_115.jpg,"ocean of canvas that catches fire, anime style",,,anime style,1.696019687,0.788312703,2.094906068,0.904052991,4.0,6.0
767,glide_normal_177.jpg,"a huge wooden carving sculpture of a fox, hyper detail",hyper detail,,,0.128895573,0.376052061,0.341602936,0.402970126,1.0,2.0
2268,sd1.5_lowstep_186.jpg,"a portrait of girl alchemist in blue dress, blurred detail, sci-fi style",blurred detail,,sci-fi style,2.938008313,0.527845749,2.865255012,0.806531537,8.5,9.0
964,midjourney_lowstep_075.jpg,"concept art of octopus attack, anime style",,,anime style,2.429568642,0.426363224,3.357572354,0.620502712,7.0,8.0
2438,sd1.5_normal_056.jpg,survival in a winter forest,,,,3.361858495,0.581168107,3.387308117,0.765519336,9.0,8.5
