,name,prompt,adj1,adj2,style,mos_quality,std_quality,mos_align,std_align,gemma_al,gemma_perc
2409,sd1.5_normal_027.jpg,the large cresting waves,,,,1.678769845,0.674854537,2.379342601,0.963561553,4.5,4.8
1547,sd1.5_highcorr_065.jpg,"an environmental concept art, anime style",,,anime style,2.994111578,0.822401806,3.158021435,1.092773732,3.5,4.0
881,glide_normal_291.jpg,"oil painting portrait of anthropomorphic female green fox animal, long-shot, hyper detail, sci-fi style",long-shot,hyper detail,sci-fi style,1.816768581,0.61724461,2.166015202,0.787201407,3.5,4.0
331,DALLE2_normal_032.jpg,an emo portrait painting,,,,2.478791084,1.026343194,2.777653346,0.550424752,4.2,4.5
2225,sd1.5_lowstep_143.jpg,"portrait of squids swarming the ocean, elevation view",elevation view,,,2.851759102,0.894127491,2.166015202,0.550344023,3.5,4.0
1242,midjourney_normal_057.jpg,sartre hugging a sad alien,,,,4.143844218,0.404732706,3.726316663,0.605461695,4.2,4.5
678,glide_normal_088.jpg,"a space shuttle flying in space, abstract style",,,abstract style,1.086342024,0.711934289,2.139899198,1.127248295,3.5,4.0
1216,midjourney_normal_030.jpg,brand logo fruit company,,,,2.433989441,0.536688873,2.988713021,0.704842281,4.0,4.5
1029,midjourney_lowstep_141.jpg,"a portrait of girl bard in red dress, cold color",cold color,,,2.817259418,0.256599604,2.782294356,0.799222141,3.5,4.0
1953,sd1.5_lowcorr_171.jpg,"grumpy disney princess sitting in a cave, cold color",cold color,,,1.860824639,0.555100191,2.429909143,1.057197034,3.5,4.0
1114,midjourney_lowstep_226.jpg,"an anatomically correct cybertronic human heart, cold color, close-up",cold color,close-up,,1.674946946,0.555254957,3.154626828,0.916977343,3.5,4.0
811,glide_normal_221.jpg,"goose being zipped - up by man in orange shirt, warm color, elevation view",warm color,elevation view,,0.686725341,0.23395544,0.753963515,0.236059203,3.0,2.5
2269,sd1.5_lowstep_187.jpg,"softboy aesthetic in ancient greek clothing, hyper detail, realistic style",hyper detail,,realistic style,0.739960598,0.744842911,1.009528271,0.691204646,2.0,2.5
1271,midjourney_normal_087.jpg,"a tonalism portrait of a ghost , realistic style",,,realistic style,2.758973195,0.775130189,2.75903949,0.534372539,4.0,4.5
93,AttnGAN_normal_093.jpg,"photo of tony danza eating chili, abstract style",,,abstract style,1.478164096,0.644720816,0.696883506,0.501431398,3.5,4.0
2118,sd1.5_lowstep_036.jpg,gnome warfare at walmart,,,,2.703383915,0.302327474,1.982792998,0.892086408,3.5,4.0
1702,sd1.5_highcorr_220.jpg,"sparkling heart blue mana tree inside a marble, warm color, top view",warm color,top view,,2.503716151,0.566916287,2.10471773,0.856300491,4.0,4.5
2700,xl2.2_normal_018.jpg,man hating his printer,,,,3.516490125,0.539335615,2.954104154,0.809048123,4.0,4.5
2863,xl2.2_normal_181.jpg,"an underwater photo of coral in the ocean, cold color, sci-fi style",cold color,,sci-fi style,2.867249225,0.52783085,3.142688856,0.509894417,4.0,4.5
144,AttnGAN_normal_144.jpg,"pendant of a silver starfish necklace, close-up",close-up,,,1.16308973,1.160317658,0.739160734,1.285544458,2.0,3.5
1421,midjourney_normal_239.jpg,"a small grassland nestled in the hollow of a tree, elevation view, long-shot",elevation view,long-shot,,3.062007692,0.633605077,2.824058767,0.822173125,4.5,4.7
1800,sd1.5_lowcorr_018.jpg,man hating his printer,,,,2.776844014,0.635934855,1.944623742,1.01590336,3.0,3.5
289,AttnGAN_normal_289.jpg,"portrait photo of a scientist deformed by some unknown disease, close-up, hyper detail, baroque style",close-up,hyper detail,baroque style,0.0,0.147340472,0.058708113,0.366031465,2.0,2.5
1350,midjourney_normal_166.jpg,"a cybertronic metallic green tree frog , blurred detail",blurred detail,,,3.673072716,0.478161576,3.402927392,0.532600888,4.5,4.8
2762,xl2.2_normal_080.jpg,"painted portrait of goblin man, anime style",,,anime style,2.956675282,0.522167942,4.081257224,0.44648019,4.0,4.5
192,AttnGAN_normal_192.jpg,"beautiful ancient temple in a formal garden, top view, realistic style",top view,,realistic style,1.144024742,0.561674132,0.957159937,0.733296098,3.0,3.5
2460,sd1.5_normal_078.jpg,"tree of life embroidered scene, abstract style",,,abstract style,3.707018893,0.564325919,3.522621893,0.326936641,4.5,4.5
63,AttnGAN_normal_063.jpg,"overwatch small hut building, abstract style",,,abstract style,0.986154364,0.339139321,0.70828361,0.497767609,3.2,3.8
1222,midjourney_normal_036.jpg,gnome warfare at walmart,,,,3.196755943,0.547887298,2.971918712,0.763404796,3.5,4.0
1891,sd1.5_lowcorr_109.jpg,"photograph of beautiful landscape, baroque style",,,baroque style,3.756916035,1.083402033,3.720100101,1.054525458,3.5,4.0
2010,sd1.5_lowcorr_228.jpg,"a kitten with two little goat horns on his head, warm color, blurred detail",warm color,blurred detail,,3.291209376,0.87041229,2.653717779,1.14762394,4.0,4.5
2119,sd1.5_lowstep_037.jpg,demon queen with red eyes,,,,3.024257523,0.464251279,3.102285456,0.460362887,4.5,4.2
1468,midjourney_normal_286.jpg,"an epic artistic colourful natural scene on an alien planet, elevation view, soft lighting, sci-fi style",elevation view,soft lighting,sci-fi style,3.245339277,0.711825742,3.348349994,0.271818784,4.2,4.8
942,midjourney_lowstep_053.jpg,castle from howl's sticker,,,,1.696019687,0.87769098,2.841551967,0.632415009,3.5,4.0
1174,midjourney_lowstep_288.jpg,"a beautiful painting of old golden samovars of russian empire, close-up, blurred detail, abstract style",close-up,blurred detail,abstract style,2.96825071,0.713925119,3.10230551,1.036185438,4.2,4.5
944,midjourney_lowstep_055.jpg,a small ocean full of life,,,,1.977251303,0.697641955,1.495178959,1.12967246,3.5,4.0
1064,midjourney_lowstep_176.jpg,"a painting of pink panther as a vampire , blurred detail",blurred detail,,,2.314518391,0.544983077,1.834092443,1.180530656,3.5,4.0
2053,sd1.5_lowcorr_271.jpg,"the gold skull coming out from open cracked marble head, cold color, hyper detail, sci-fi style",cold color,hyper detail,sci-fi style,2.882005876,0.645213215,2.554178395,0.510227002,3.5,4.0
2579,sd1.5_normal_197.jpg,"storm troopers cosplaying the power rangers , hyper detail, realistic style",hyper detail,,realistic style,3.066652656,0.35225924,3.318907491,0.477540931,4.2,4.5
1533,sd1.5_highcorr_051.jpg,hanging gardens of babylon,,,,3.645914271,0.477898507,3.514248281,1.056068743,4.0,4.5
2293,sd1.5_lowstep_211.jpg,"a woman in a trench coat looking out a window, cold color, sci-fi style",cold color,,sci-fi style,2.509487485,0.588762855,2.798535131,0.517787363,4.2,4.5
2423,sd1.5_normal_041.jpg,a raspberry made of metal,,,,3.274744941,0.755657843,1.9250157,0.822831973,3.0,4.0
2593,sd1.5_normal_211.jpg,"a woman in a trench coat looking out a window, cold color, sci-fi style",cold color,,sci-fi style,2.586734895,1.026263103,3.080096813,0.489322101,3.5,4.0
930,midjourney_lowstep_040.jpg,an elaborate robot coding,,,,1.358005834,0.756235275,1.340055066,0.624783555,3.0,2.5
2091,sd1.5_lowstep_009.jpg,girl from fight club,,,,2.574642925,0.357780324,1.928094768,0.672509907,3.5,4.0
485,DALLE2_normal_193.jpg,"a portrait of a female robot made from code, elevation view, abstract style",elevation view,,abstract style,3.474165563,0.665936609,2.52206564,0.576255923,3.5,4.0
211,AttnGAN_normal_211.jpg,"a woman in a trench coat looking out a window, cold color, sci-fi style",cold color,,sci-fi style,0.807856712,0.398430572,0.60877307,0.677532635,2.8,3.2
1234,midjourney_normal_049.jpg,portrait of evil alchemist,,,,3.92737756,0.522641898,3.708798973,1.474879694,4.2,4.8
554,DALLE2_normal_263.jpg,"cute animal character sleeping in the space station, cold color, elevation view, abstract style",cold color,elevation view,abstract style,2.11262753,0.620894652,2.999433191,0.829883622,3.5,4.0
2270,sd1.5_lowstep_188.jpg,"portrait painting of a west hightland white, soft lighting, abstract style",soft lighting,,abstract style,1.594706548,0.715585856,1.94279623,1.024343545,3.5,4.0
1979,sd1.5_lowcorr_197.jpg,"storm troopers cosplaying the power rangers , hyper detail, realistic style",hyper detail,,realistic style,2.882341659,0.486793389,2.617418083,1.181537933,3.5,4.0
1553,sd1.5_highcorr_071.jpg,"smart sri lanka buddhist monk, sci-fi style",,,sci-fi style,3.150997182,0.440860751,3.147905927,0.584290545,3.5,3.8
1727,sd1.5_highcorr_245.jpg,"fullbody portrait of half - fox woman with fox ears, top view, HDR lighting",top view,HDR lighting,,2.746509754,0.451342975,2.665169971,0.753534875,4.2,4.5
594,glide_normal_004.jpg,red and blue armor,,,,0.592610402,0.369415555,1.153704822,0.702109438,3.0,3.5
1273,midjourney_normal_089.jpg,"a crocodile in a new york sewer, baroque style",,,baroque style,3.657064334,0.361576533,3.375908012,0.711484282,3.5,4.0
174,AttnGAN_normal_174.jpg,"ancient golden chrome finish skateboard , close-up",close-up,,,1.014269206,0.795171719,0.70828361,0.799693493,2.0,3.0
52,AttnGAN_normal_052.jpg,concept art of giant ogres,,,,1.168900836,0.472985683,0.845084862,0.641668615,3.0,3.5
1462,midjourney_normal_280.jpg,"rats in tuxedos drinking champagne in bubbles in the space, top view, blurred detail, anime style",top view,blurred detail,anime style,3.389973337,0.285640481,3.364507908,0.454615107,4.2,4.5
332,DALLE2_normal_033.jpg,the pope had a rock band,,,,2.742340814,0.567100146,2.574726496,0.903119279,3.5,4.0
1270,midjourney_normal_086.jpg,"a very drunk person named aaron, sci-fi style",,,sci-fi style,3.9689969,0.179142069,3.715711518,0.467427911,4.2,4.8
2508,sd1.5_normal_126.jpg,"the shogoth wearing a santa costume, blurred detail",blurred detail,,,1.931518323,0.200283157,3.262068577,0.822965095,3.5,4.0
1517,sd1.5_highcorr_035.jpg,illustration of a rowboat,,,,2.526119865,0.922657192,3.075004622,0.786121099,4.0,4.5
45,AttnGAN_normal_045.jpg,superman punches the pope,,,,1.252358797,0.630744468,0.325327435,0.533822636,3.0,3.5
2760,xl2.2_normal_078.jpg,"tree of life embroidered scene, abstract style",,,abstract style,3.30238721,0.487585817,3.799471502,0.44372683,4.2,4.5
1675,sd1.5_highcorr_193.jpg,"a portrait of a female robot made from code, elevation view, abstract style",elevation view,,abstract style,2.489938377,0.597990521,2.283154863,0.880313623,4.2,4.0
2014,sd1.5_lowcorr_232.jpg,"steampunk owl inside a glass jar buried in sand, warm color, soft lighting",warm color,soft lighting,,3.524062705,0.659239873,3.469961038,0.638353867,3.5,4.0
178,AttnGAN_normal_178.jpg,"a car crawling with human hands and feet, soft lighting",soft lighting,,,0.358179955,0.202805781,0.282183064,0.437292499,3.0,4.0
102,AttnGAN_normal_102.jpg,"a grand stag in a fantasy forest, realistic style",,,realistic style,0.799027902,0.749671265,1.087526681,1.192546223,3.5,4.0
2707,xl2.2_normal_025.jpg,a still of breaking bad,,,,3.445007041,0.300764992,3.080115584,0.660562197,4.5,4.5
695,glide_normal_105.jpg,"a 2 d guitarist character design, anime style",,,anime style,1.012573225,0.740208205,1.245039896,1.394164653,3.0,3.5
1904,sd1.5_lowcorr_122.jpg,"chinese demon god character design, top view",top view,,,3.041723666,0.844090638,3.351474113,0.650915208,3.5,4.0
354,DALLE2_normal_056.jpg,survival in a winter forest,,,,3.124885569,0.877463741,2.666882993,1.012379564,3.5,4.0
0,AttnGAN_normal_000.jpg,statue of a man,,,,0.965602553,0.223270101,0.40889324,0.615607722,3.0,3.5
1911,sd1.5_lowcorr_129.jpg,"portrait of a beautiful young woman, HDR lighting",HDR lighting,,,3.330022312,0.236067301,3.510154573,0.724252232,4.5,4.3
1057,midjourney_lowstep_169.jpg,"profile face portrait of a tin toy robot, HDR lighting",HDR lighting,,,2.746509754,0.276466067,3.345634382,0.463961845,4.0,4.5
2512,sd1.5_normal_130.jpg,"photography of a happy blonde girl , warm color",warm color,,,3.360750593,0.389271786,3.480852014,0.414291084,4.5,4.3
506,DALLE2_normal_214.jpg,"render of rivendell dreamy beautiful landscape, close-up, baroque style",close-up,,baroque style,3.088457462,0.43190077,3.17765537,1.018208869,3.5,4.0
781,glide_normal_191.jpg,"cute fluffy golden teddy bear eating bagels, cold color, sci-fi style",cold color,,sci-fi style,1.948511424,0.481397747,1.599528985,0.554946006,3.0,4.0
700,glide_normal_110.jpg,"painted portrait of intense woman, anime style",,,anime style,0.229783115,1.008224322,0.388286871,0.514066765,3.5,4.0
324,DALLE2_normal_025.jpg,a still of breaking bad,,,,3.089166137,0.716777786,2.545756544,0.847135566,3.5,4.0
1378,midjourney_normal_194.jpg,"a cyborg jellyfish swimming in a vast ocean, close-up, baroque style",close-up,,baroque style,3.438253731,0.968037989,3.434128078,0.669408468,4.2,4.5
2149,sd1.5_lowstep_067.jpg,"a woman in newspaper clothes, realistic style",,,realistic style,2.785504238,0.592610287,2.201697271,0.789768267,3.5,4.0
322,DALLE2_normal_023.jpg,king kong on fighting,,,,2.679260682,0.619951524,2.403045646,0.900579927,3.5,4.0
436,DALLE2_normal_142.jpg,"a biomechanical passion fruit flower, top view",top view,,,2.14357511,0.892794556,2.443074357,0.883925442,4.5,4.8
527,DALLE2_normal_235.jpg,"steampunk squid inside a glass jar buried in sand, cold color, HDR lighting",cold color,HDR lighting,,2.874527714,0.34594864,3.043538165,0.579517485,4.0,4.5
2382,sd1.5_normal_000.jpg,statue of a man,,,,0.44999057,0.319877891,0.678198368,0.488624139,2.0,3.0
2348,sd1.5_lowstep_266.jpg,"scottish stone cairn inside a glass jar buried in sand, cold color, close-up, sci-fi style",cold color,close-up,sci-fi style,2.654631009,0.750913443,2.490096099,0.682988128,4.2,4.0
2601,sd1.5_normal_219.jpg,"a brand logo of henry cavill as a catholic nun, HDR lighting, baroque style",HDR lighting,,baroque style,3.440761714,0.40002291,2.856177525,0.966937869,3.5,4.5
1204,midjourney_normal_018.jpg,man hating his printer,,,,3.887128521,0.29436002,3.762894082,0.754260516,4.2,4.5
1361,midjourney_normal_177.jpg,"a huge wooden carving sculpture of a fox, hyper detail",hyper detail,,,3.701722739,0.365064393,3.836048921,0.383865762,4.5,4.8
2484,sd1.5_normal_102.jpg,"a grand stag in a fantasy forest, realistic style",,,realistic style,3.490003257,0.797304639,3.374870467,0.58025695,4.2,4.8
1475,midjourney_normal_293.jpg,"futuristic robot alien invasion award winning pixar movie poster , close-up, HDR lighting, abstract style",close-up,HDR lighting,abstract style,3.347801074,0.504889847,3.056705093,0.728562281,4.5,4.3
2972,xl2.2_normal_290.jpg,"a portrait of girl chronomancer glass jewelry padlocks fantasy, long-shot, blurred detail, anime style",long-shot,blurred detail,anime style,3.360750593,0.9856238,3.224813969,0.43067797,4.2,4.8
1729,sd1.5_highcorr_247.jpg,"a saint noble high priestess pray for god in church, elevation view, HDR lighting",elevation view,HDR lighting,,2.610261314,0.302305892,2.971918712,0.493376819,3.5,4.0
2615,sd1.5_normal_233.jpg,"a penguin slipping on a banana in the antarctic , warm color, HDR lighting",warm color,HDR lighting,,3.320012924,0.803239303,1.788774497,0.689856201,4.5,4.3
1090,midjourney_lowstep_202.jpg,"a biomechanical blue raspberry made of metal, top view, realistic style",top view,,realistic style,2.616815188,0.302958524,2.965504258,0.715560625,4.5,4.5
680,glide_normal_090.jpg,"little girl with a mushroom hat, anime style",,,anime style,1.296708731,0.382408553,1.143113339,0.838034727,3.2,4.0
203,AttnGAN_normal_203.jpg,"a beautiful brutalist concrete forest temple, elevation view, abstract style",elevation view,,abstract style,1.168900836,0.799221234,0.810884549,0.697284312,3.2,3.8
495,DALLE2_normal_203.jpg,"a beautiful brutalist concrete forest temple, elevation view, abstract style",elevation view,,abstract style,1.868518107,0.812630472,1.597142136,0.538599655,3.5,4.0
1124,midjourney_lowstep_237.jpg,"portrait of terrified green ball gown young woman, top view, long-shot",top view,long-shot,,3.324474137,0.611943012,3.351474113,0.64671228,3.5,4.0
414,DALLE2_normal_120.jpg,"die cut sticker of a pair of lips , warm color",warm color,,,2.261262436,1.068172636,3.348349994,0.649337936,4.0,4.5
194,AttnGAN_normal_194.jpg,"a cyborg jellyfish swimming in a vast ocean, close-up, baroque style",close-up,,baroque style,0.775293051,0.342112504,0.86788507,0.328406516,3.0,3.5
718,glide_normal_128.jpg,"portrait of a tang dynasty empress , soft lighting",soft lighting,,,1.492221516,0.453091139,0.571482359,0.427726929,3.0,4.0
1665,sd1.5_highcorr_183.jpg,"radioactive alien mushrooms in the forest , elevation view, abstract style",elevation view,,abstract style,2.746509754,0.767713103,2.330906752,0.739087182,4.2,4.5
1628,sd1.5_highcorr_146.jpg,"cute fluffy lion cheetah hybrid mixed, blurred detail",blurred detail,,,2.717645898,0.602335551,3.202040316,0.693034816,4.2,4.8
1894,sd1.5_lowcorr_112.jpg,"gorgeous young scandanavian woman, realistic style",,,realistic style,3.714251203,0.556010456,3.5526433,0.920783175,4.2,4.8
2515,sd1.5_normal_133.jpg,"a blue abyss underwater concept art, elevation view",elevation view,,,3.045671512,0.950457984,3.226425262,0.85415302,4.2,4.5
51,AttnGAN_normal_051.jpg,hanging gardens of babylon,,,,1.062470367,0.623660348,0.981735619,0.76164381,3.0,3.5
1001,midjourney_lowstep_113.jpg,"epic colourful scene from a dream, abstract style",,,abstract style,0.977683949,0.756180393,2.568031711,1.127569438,3.5,4.0
2673,sd1.5_normal_291.jpg,"oil painting portrait of anthropomorphic female green fox animal, long-shot, hyper detail, sci-fi style",long-shot,hyper detail,sci-fi style,2.957803829,0.462964858,3.011371163,0.767728922,4.0,4.5
368,DALLE2_normal_073.jpg,"otter making a disgusted face, abstract style",,,abstract style,2.899057018,0.614928119,3.124625168,0.770011767,3.5,4.0
2940,xl2.2_normal_258.jpg,"black broken armor and helmet laying in wild flowers, hyper detail, soft lighting",hyper detail,soft lighting,,3.432145599,0.460190096,3.444308638,0.413873754,4.0,4.5
1611,sd1.5_highcorr_129.jpg,"portrait of a beautiful young woman, HDR lighting",HDR lighting,,,0.76123563,0.2612992,2.110496437,1.178379625,3.0,3.5
2828,xl2.2_normal_146.jpg,"cute fluffy lion cheetah hybrid mixed, blurred detail",blurred detail,,,3.474317862,0.605192015,3.455708742,0.705387401,4.5,4.8
564,DALLE2_normal_274.jpg,"angled photograph of an abandoned train cart during dusk, cold color, soft lighting, baroque style",cold color,soft lighting,baroque style,3.419625599,0.694951665,2.951467196,1.073482605,3.5,4.0
1419,midjourney_normal_236.jpg,"short - haired short butch tomboy blonde engineer, top view, close-up",top view,close-up,,4.044010336,0.248717122,3.445889779,0.602957653,4.2,4.8
1502,sd1.5_highcorr_020.jpg,a overgrown old house,,,,3.630412823,0.282465315,3.787279028,0.508739763,4.0,4.5
2402,sd1.5_normal_020.jpg,a overgrown old house,,,,3.094767498,0.803607204,3.729311245,0.572014222,4.0,4.5
1660,sd1.5_highcorr_178.jpg,"a car crawling with human hands and feet, soft lighting",soft lighting,,,2.788955814,0.773983212,2.251027408,1.087482857,3.5,4.0
1770,sd1.5_highcorr_288.jpg,"a beautiful painting of old golden samovars of russian empire, close-up, blurred detail, abstract style",close-up,blurred detail,abstract style,1.750409116,0.348306235,2.474162417,1.02075112,3.5,4.0
2291,sd1.5_lowstep_209.jpg,"an uprising of disneyland costumed characters, HDR lighting, baroque style",HDR lighting,,baroque style,2.689121932,0.43869553,2.945998379,0.319807616,4.2,4.8
463,DALLE2_normal_171.jpg,"grumpy disney princess sitting in a cave, cold color",cold color,,,1.956116406,0.428474341,2.771702485,1.037614916,3.5,4.0
1477,midjourney_normal_295.jpg,"depressed people standing around an hourglass with little sand left, long-shot, HDR lighting, anime style",long-shot,HDR lighting,anime style,3.440761714,0.681985631,2.665169971,0.628040226,3.5,4.5
1783,sd1.5_lowcorr_001.jpg,a tray of sushi,,,,3.407636041,0.599272665,3.772760957,0.536885198,4.5,4.2
2655,sd1.5_normal_273.jpg,"exploring an epic organic and colourful underground city, warm color, HDR lighting, abstract style",warm color,HDR lighting,abstract style,3.202553327,0.811436076,3.37273494,0.612155107,4.5,4.5
2420,sd1.5_normal_038.jpg,christmas at kelly family,,,,2.523592728,0.729275144,3.696383698,0.499744673,4.0,4.5
1717,sd1.5_highcorr_235.jpg,"steampunk squid inside a glass jar buried in sand, cold color, HDR lighting",cold color,HDR lighting,,1.747769213,0.742405823,2.106757591,0.897545617,3.5,4.0
1765,sd1.5_highcorr_283.jpg,"steampunk pocketwatch owl inside a glass jar buried in sand, elevation view, hyper detail, abstract style",elevation view,hyper detail,abstract style,3.541752783,0.388083258,2.557115434,1.011975105,4.2,4.8
605,glide_normal_015.jpg,santa claus on drugs,,,,0.563430702,0.546433261,0.60877307,0.535029947,3.0,3.5
2032,sd1.5_lowcorr_250.jpg,"a dramatic photo of a mountain made of layered cake, long-shot, blurred detail",long-shot,blurred detail,,3.632335048,0.447816816,2.16726552,1.181159646,3.5,4.0
2602,sd1.5_normal_220.jpg,"sparkling heart blue mana tree inside a marble, warm color, top view",warm color,top view,,2.363781612,1.086270767,2.395499044,0.771380807,4.5,4.3
2829,xl2.2_normal_147.jpg,"bill gates and jason statham fight m , hyper detail",hyper detail,,,4.205990313,0.865700504,2.087613583,0.924420663,3.5,3.8
321,DALLE2_normal_022.jpg,panda chef in a kitchen,,,,2.568394371,0.508204609,4.118503049,0.567993321,4.0,4.5
670,glide_normal_080.jpg,"painted portrait of goblin man, anime style",,,anime style,1.012573225,0.62023562,1.745318022,1.014279127,3.5,4.0
67,AttnGAN_normal_067.jpg,"a woman in newspaper clothes, realistic style",,,realistic style,1.042384048,0.356275928,0.457481316,0.655446631,3.0,4.0
1963,sd1.5_lowcorr_181.jpg,"an underwater photo of coral in the ocean, cold color, sci-fi style",cold color,,sci-fi style,3.094767498,0.729081056,3.045304988,0.857184731,3.5,4.0
1336,midjourney_normal_152.jpg,"grumpy the elder gods sitting in a bar, top view",top view,,,3.357738899,0.805816426,3.430465396,0.72053618,4.2,4.5
196,AttnGAN_normal_196.jpg,"the essence of the chemical element hydrogen, blurred detail, sci-fi style",blurred detail,,sci-fi style,0.8493261,0.49328618,0.629428475,0.446159964,2.0,2.5
1805,sd1.5_lowcorr_023.jpg,king kong on fighting,,,,2.339014038,0.411558082,2.629356055,0.485742541,3.5,4.0
2222,sd1.5_lowstep_140.jpg,"cute great old ones sitting in a bar, warm color",warm color,,,3.507430325,0.526371039,1.679491953,0.718834646,3.5,4.0
408,DALLE2_normal_114.jpg,"donut glazed with white chocolate, baroque style",,,baroque style,2.837204233,0.711862584,2.790068621,0.80525371,3.5,4.0
857,glide_normal_267.jpg,"beautiful viking woman surrounded by treasure and gold, cold color, long-shot, realistic style",cold color,long-shot,realistic style,1.269146708,0.425814488,0.654641315,0.396338658,3.0,4.0
2947,xl2.2_normal_265.jpg,"a blue anatomically correct human brain made of metal, warm color, long-shot, anime style",warm color,long-shot,anime style,2.917313663,0.68501669,2.616801603,0.61912287,4.2,4.5
2726,xl2.2_normal_044.jpg,male warrior silver armor,,,,3.479361124,0.484904087,3.857782273,0.667536859,4.5,4.3
2240,sd1.5_lowstep_158.jpg,"photograph of a stone cairn in scotland, soft lighting",soft lighting,,,3.727389608,0.646926037,3.73689006,0.576633026,4.0,4.5
2638,sd1.5_normal_256.jpg,"full length portrait of a beautiful woman with horns, blurred detail, soft lighting",blurred detail,soft lighting,,1.825871285,0.406784071,2.736797804,1.150747542,4.2,4.5
990,midjourney_lowstep_102.jpg,"a grand stag in a fantasy forest, realistic style",,,realistic style,2.73141732,0.645471592,3.345634382,0.506887645,4.5,4.2
1206,midjourney_normal_020.jpg,a overgrown old house,,,,3.952270172,0.620296158,3.854712392,0.53374121,4.0,4.5
1713,sd1.5_highcorr_231.jpg,"a dramatic photo of a lion made of cotton candy, cold color, hyper detail",cold color,hyper detail,,3.380391978,0.552474867,2.844239553,0.861828786,3.5,4.5
124,AttnGAN_normal_124.jpg,"action shot of woman pole vaulting, close-up",close-up,,,1.23918794,0.312406208,0.46888142,0.61366378,3.5,4.0
1302,midjourney_normal_118.jpg,"foxes judging a cheese competition, abstract style",,,abstract style,3.601888857,0.34027011,3.482467199,0.588218906,4.2,4.5
2510,sd1.5_normal_128.jpg,"portrait of a tang dynasty empress , soft lighting",soft lighting,,,2.520123245,0.218183046,3.405324243,0.567944595,4.2,4.5
2849,xl2.2_normal_167.jpg,"two women working in a recording studio, hyper detail",hyper detail,,,3.578018157,0.48788932,3.647833348,0.385462045,4.2,4.5
1091,midjourney_lowstep_203.jpg,"a beautiful brutalist concrete forest temple, elevation view, abstract style",elevation view,,abstract style,2.493724965,0.38173282,2.144474319,0.776349955,3.5,4.0
1316,midjourney_normal_132.jpg,"a girl with rainbow in white shirt , top view",top view,,,3.896040489,0.581125791,3.900312809,0.505798439,4.2,4.5
544,DALLE2_normal_253.jpg,"a biomechanical cyborg torso abandoned in a factory, close-up, HDR lighting",close-up,HDR lighting,,0.0,0.324752734,0.253699602,0.465981252,2.0,4.0
1657,sd1.5_highcorr_175.jpg,"a portrait of the mri brain damage demon, long-shot",long-shot,,,2.588700346,0.501583506,2.452499565,0.526631859,3.5,4.0
932,midjourney_lowstep_042.jpg,a man jumping off a cliff,,,,2.64254653,0.428792262,1.890135375,1.319796989,4.0,4.5
911,midjourney_lowstep_021.jpg,portrait of mecha robot,,,,1.844192258,0.743062154,2.903856842,0.766218644,3.0,3.5
2584,sd1.5_normal_202.jpg,"a biomechanical blue raspberry made of metal, top view, realistic style",top view,,realistic style,2.334263842,0.799157327,2.189718246,0.976568854,4.2,4.5
2776,xl2.2_normal_094.jpg,"painted portrait of fierce elder, baroque style",,,baroque style,3.923719599,0.455369383,3.345634382,0.635444368,4.5,4.5
2453,sd1.5_normal_071.jpg,"smart sri lanka buddhist monk, sci-fi style",,,sci-fi style,3.386504205,0.489863113,2.841551967,0.57283613,3.5,4.0
1778,sd1.5_highcorr_296.jpg,"bloodborne werewolf howling in yharnam with full moon in background, blurred detail, soft lighting, sci-fi style",blurred detail,soft lighting,sci-fi style,3.061212451,0.892236846,3.013543571,0.468737195,4.2,4.5
2686,xl2.2_normal_004.jpg,red and blue armor,,,,2.85831935,0.923787049,3.358399036,1.172877285,4.0,4.5
2925,xl2.2_normal_243.jpg,"mushrooms and moss on a tree in a fairytale forest, elevation view, hyper detail",elevation view,hyper detail,,3.853868226,0.430409638,3.090905405,0.781611806,4.5,4.7
2749,xl2.2_normal_067.jpg,"a woman in newspaper clothes, realistic style",,,realistic style,3.613766055,0.424919691,3.572230948,0.340805983,4.5,4.8
744,glide_normal_154.jpg,"cute fluffy baby poodle giraffe hybrid, close-up",close-up,,,1.827559877,0.772820102,2.653717779,0.687814816,3.5,4.0
